sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
MH01-XS-Black,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-XS-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-xs-black,,,,/mh01-black_main_1.jpg,,/mh01-black_main_1.jpg,,/mh01-black_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Black,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/mh01-black_main_1.jpg,,,,,,,,,,,,,,
MH01-XS-Gray,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-XS-Gray,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-xs-gray,,,,/mh01-gray_main_1.jpg,,/mh01-gray_main_1.jpg,,/mh01-gray_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Gray,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/mh01-gray_main_1.jpg,/mh01-gray_alt1_1.jpg,/mh01-gray_back_1.jpg",,,,,,,,,,,,,,
MH01-XS-Orange,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-XS-Orange,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-xs-orange,,,,/mh01-orange_main_1.jpg,,/mh01-orange_main_1.jpg,,/mh01-orange_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/mh01-orange_main_1.jpg,,,,,,,,,,,,,,
MH01-S-Black,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-S-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-s-black,,,,/mh01-black_main_1.jpg,,/mh01-black_main_1.jpg,,/mh01-black_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Black,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/mh01-black_main_1.jpg,,,,,,,,,,,,,,
MH01-S-Gray,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-S-Gray,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-s-gray,,,,/mh01-gray_main_1.jpg,,/mh01-gray_main_1.jpg,,/mh01-gray_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Gray,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/mh01-gray_main_1.jpg,/mh01-gray_alt1_1.jpg,/mh01-gray_back_1.jpg",,,,,,,,,,,,,,
MH01-S-Orange,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-S-Orange,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-s-orange,,,,/mh01-orange_main_1.jpg,,/mh01-orange_main_1.jpg,,/mh01-orange_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/mh01-orange_main_1.jpg,,,,,,,,,,,,,,
MH01-M-Black,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-M-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-m-black,,,,/mh01-black_main_1.jpg,,/mh01-black_main_1.jpg,,/mh01-black_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Black,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/mh01-black_main_1.jpg,,,,,,,,,,,,,,
MH01-M-Gray,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-M-Gray,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-m-gray,,,,/mh01-gray_main_1.jpg,,/mh01-gray_main_1.jpg,,/mh01-gray_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Gray,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/mh01-gray_main_1.jpg,/mh01-gray_alt1_1.jpg,/mh01-gray_back_1.jpg",,,,,,,,,,,,,,
MH01-M-Orange,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-M-Orange,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-m-orange,,,,/mh01-orange_main_1.jpg,,/mh01-orange_main_1.jpg,,/mh01-orange_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=M",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/mh01-orange_main_1.jpg,,,,,,,,,,,,,,
MH01-L-Black,,Top,simple,"Default Category/Test,Default Category/Test/test1",base,Chaz Kangeroo Hoodie-L-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,52,,,,chaz-kangeroo-hoodie-l-black,,,,/mh01-black_main_1.jpg,,/mh01-black_main_1.jpg,,/mh01-black_main_1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"color=Black,size=L",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/mh01-black_main_1.jpg,,,,,,,,,,,,,,
